scope,fishery_name,section_num,location
MS,Stillaguamish salmon and gamefish 2024-25,2,Hevly Fishing Access
MS,Stillaguamish salmon and gamefish 2024-25,2,Larson Rd Bridge
MS,Stillaguamish salmon and gamefish 2024-25,2,Mainstem Stilly Access
MS,Stillaguamish salmon and gamefish 2024-25,2,Norman Guardrail hole
MS,Stillaguamish salmon and gamefish 2024-25,2,Old Stilly River Bridge
MS,Stillaguamish salmon and gamefish 2024-25,2,Pilchuck Creek Mouth
MS,Stillaguamish salmon and gamefish 2024-25,2,RR Overpass (Norman Rd)
MS,Stillaguamish salmon and gamefish 2024-25,2,STI Trail
MS,Stillaguamish salmon and gamefish 2024-25,3,Blue Stilly Park
MS,Stillaguamish salmon and gamefish 2024-25,3,Haller Park
MS,Stillaguamish salmon and gamefish 2024-25,3,I5 Stillaguamish River Bridge
MS,Stillaguamish salmon and gamefish 2024-25,3,Twin Rivers Park
MS,Stillaguamish salmon and gamefish 2025-26,1,Hevly Fishing Access
MS,Stillaguamish salmon and gamefish 2025-26,1,Larson Rd Bridge
MS,Stillaguamish salmon and gamefish 2025-26,1,Mainstem Stilly Access
MS,Stillaguamish salmon and gamefish 2025-26,1,Norman Guardrail hole
MS,Stillaguamish salmon and gamefish 2025-26,1,Old Stilly River Bridge
MS,Stillaguamish salmon and gamefish 2025-26,1,Pilchuck Creek Mouth
MS,Stillaguamish salmon and gamefish 2025-26,1,RR Overpass (Norman Rd)
MS,Stillaguamish salmon and gamefish 2025-26,1,STI Trail
MS,Stillaguamish salmon and gamefish 2025-26,2,Blue Stilly Park
MS,Stillaguamish salmon and gamefish 2025-26,2,Haller Park
MS,Stillaguamish salmon and gamefish 2025-26,2,I5 Stillaguamish River Bridge
MS,Stillaguamish salmon and gamefish 2025-26,2,Twin Rivers Park
NF,Stillaguamish salmon and gamefish 2024-25,4,Cicero Bridge
NF,Stillaguamish salmon and gamefish 2024-25,4,Cloverdale Park
NF,Stillaguamish salmon and gamefish 2024-25,4,Trafton Access
NF,Stillaguamish salmon and gamefish 2025-26,3,Cicero Bridge
NF,Stillaguamish salmon and gamefish 2025-26,3,Cloverdale Park
NF,Stillaguamish salmon and gamefish 2025-26,3,Trafton Access
